"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","BANDHAN MUTUAL FUND","BUY","5,18,919","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED","BUY","2,70,275","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","EDELWEISS MUTUAL FUND","BUY","10,81,081","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","GENERAL ATLANTIC SINGAPORE FUND PTE LTD","SELL","1,51,35,135","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","HSBC MUTUAL FUND","BUY","17,83,784","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","ICICI LOMBARD GENERAL INSURANCE CO LTD","BUY","2,81,081","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","5,40,541","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","INVESCO MUTUAL FUND","BUY","43,24,324","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","KOTAK MAHINDRA MUTUAL FUND","BUY","20,00,000","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","MIRAE ASSET MUTUAL FUND","BUY","25,62,162","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","2,70,275","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","MOTILAL OSWAL MUTUAL FUND","BUY","9,83,784","925.00",
"20-AUG-2026","KFINTECH","Kfin Technologies Limited","SOCIETE GENERALE","BUY","5,18,909","925.00",
"20-AUG-2026","NXT-INFRA","Nxt-Infra Trust","ACTIS HIGHWAY INFRA LIMITED","SELL","1,91,25,000","93.85",
"20-AUG-2026","NXT-INFRA","Nxt-Infra Trust","KOTAK MAHINDRA BANK LIMITED","BUY","95,50,000","93.85",
"20-AUG-2026","NXT-INFRA","Nxt-Infra Trust","LARSEN & TOUBRO LIMITED","BUY","95,75,000","93.85",
