"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"04-JAN-2024","ADORWELD","Ador Welding Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","1,00,395","1,675.65","-"
"04-JAN-2024","ADORWELD","Ador Welding Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","1,00,395","1,673.80","-"
"04-JAN-2024","AKG","AKG Exim Limited","KAPIL AGGARWAL","SELL","2,04,000","24.26","-"
"04-JAN-2024","AKSHAR","Akshar Spintex Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","24,00,000","4.40","-"
"04-JAN-2024","AKSHAR","Akshar Spintex Limited","NIKHIL RAJESH SINGH","SELL","12,87,974","4.40","-"
"04-JAN-2024","AKSHAR","Akshar Spintex Limited","SAHASTRAA ADVISORS PRIVATE LIMITED","BUY","15,00,000","4.40","-"
"04-JAN-2024","ATL","Allcargo Terminals Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","23,19,967","67.50","-"
"04-JAN-2024","ATL","Allcargo Terminals Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","23,20,069","67.65","-"
"04-JAN-2024","BANKA","Banka BioLoo Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","2","134.20","-"
"04-JAN-2024","BANKA","Banka BioLoo Limited","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","78,087","141.07","-"
"04-JAN-2024","BANKA","Banka BioLoo Limited","MUDUPULAVEMULA SURENDRANADHA REDDY","SELL","1,41,613","137.10","-"
"04-JAN-2024","BANKA","Banka BioLoo Limited","MUDUPULAVEMULA SURENDRANADHA REDDY","BUY","1,41,613","135.99","-"
"04-JAN-2024","BRNL","Bharat Road Network Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","9,48,954","65.00","-"
"04-JAN-2024","BRNL","Bharat Road Network Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","9,48,954","64.98","-"
"04-JAN-2024","CAPACITE","Capacite Infraproject Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","3,98,344","280.33","-"
"04-JAN-2024","CAPACITE","Capacite Infraproject Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","3,98,344","280.67","-"
"04-JAN-2024","CBAZAAR","Net Avenue Technologies L","LATIN MANHARLAL SECURITIES PVT. LTD.","BUY","24,000","29.67","-"
"04-JAN-2024","CBAZAAR","Net Avenue Technologies L","LATIN MANHARLAL SECURITIES PVT. LTD.","SELL","1,12,000","31.87","-"
"04-JAN-2024","COASTCORP","Coastal Corporation Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","1,07,797","318.57","-"
"04-JAN-2024","COASTCORP","Coastal Corporation Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","1,07,797","318.52","-"
"04-JAN-2024","DIL","Debock Industries Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","10,27,065","10.90","-"
"04-JAN-2024","DIL","Debock Industries Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","20,25,000","10.93","-"
"04-JAN-2024","DIL","Debock Industries Limited","SUNIL  KALOT","SELL","36,03,504","10.96","-"
"04-JAN-2024","FCSSOFT","FCS Software Solutions Li","ANKITA VISHAL SHAH","SELL","1,26,75,153","4.62","-"
"04-JAN-2024","FCSSOFT","FCS Software Solutions Li","ANKITA VISHAL SHAH","BUY","1,98,75,153","4.59","-"
"04-JAN-2024","GMBREW","GM Breweries Ltd.","GRAVITON RESEARCH CAPITAL LLP","BUY","92,601","680.31","-"
"04-JAN-2024","GMBREW","GM Breweries Ltd.","GRAVITON RESEARCH CAPITAL LLP","SELL","92,601","680.59","-"
"04-JAN-2024","GODHA","Godha Cabcon Insulat Ltd","SAHASTRAA ADVISORS PRIVATE LIMITED","SELL","43,79,028","0.65","-"
